Ticker,Ideal Volatility,Mid Market Cap,Reverse Volatility,3yr Sharpe Ratio
RLI,1,0,0,0
RMD,1,0,0,0
RNR,1,0,0,0
RNST,0,0,0,1
ROG,0,0,0,1
ROL,1,0,0,0
ROP,1,0,0,0
RPM,1,0,0,0
RRC,0,0,1,0
RTX,0,0,0,1
RWT,0,1,0,0
RY,1,0,0,1
SA,0,1,0,0
SAFT,1,1,0,1
SAH,0,1,0,0
SAND,0,1,0,0
SAP,0,0,0,1
SASR,0,0,0,1
SATS,0,1,0,0
SAVA,0,0,1,0
SBAC,1,0,0,0
SBCF,0,0,0,1
SBGI,0,1,0,0
SBH,0,0,0,1
SBLK,0,1,0,1
SBNY,0,0,0,1
SBRA,0,0,0,1
SBSI,1,1,0,1
SCCO,0,0,0,1
SCHN,0,1,0,1
SCHW,0,0,0,1
SCI,1,0,0,0
SCL,1,0,0,0
SCR,0,1,1,0
SCS,0,1,0,1
SCZ,1,0,0,1
SEE,0,0,0,1
SFL,0,1,0,0
SFNC,0,0,0,1
SGRY,0,0,1,0
SHOO,0,0,0,1
SHW,1,0,0,0
SHY,0,0,0,1
SHYF,0,1,0,0
SIG,0,0,1,1
SIGI,1,0,0,1
SIMO,0,0,0,1
SITC,0,0,0,1
SJM,0,0,0,1
SJW,1,0,0,0
SKM,1,0,0,1
SKT,0,1,0,0
SKX,0,0,0,1
SKYY,1,0,0,0
SLF,1,0,0,1
SLGN,1,0,0,0
SLP,0,1,0,0
SM,0,0,1,0
SMFG,1,0,0,0
SNDX,0,1,0,0
SNE,1,0,0,0
SNEX,0,1,0,0
SNN,1,0,0,0
SNPS,1,0,0,0
SO,1,0,0,0
SON,1,0,0,0
SPGI,1,0,0,0
SPLK,0,0,0,1
SPWR,0,0,1,0
SQM,0,0,0,1
SR,1,0,0,1
SRC,0,0,0,1
SRCE,0,1,0,0
SRCL,0,0,0,1
SRE,1,0,0,1
SRG,0,1,0,0
SRNE,0,0,1,1
SSL,0,0,1,0
SSNC,0,0,0,1
SSP,0,1,0,0
SSYS,0,0,0,1
ST,0,0,0,1
STAG,1,0,0,0
STAR,0,1,0,0
STAY.U,0,0,0,1
STBA,0,1,0,0
STC,0,1,0,1
STE,1,0,0,0
STKL,0,1,1,0
STL,0,0,0,1
STLD,0,0,0,1
STMP,0,0,1,0
STN,1,0,0,0
STNG,0,1,0,0
STOR,0,0,0,1
STWD,0,0,0,1
STX,0,0,0,1
STZ,0,0,0,1
SUI,1,0,0,0
SUN,0,0,0,1
SUPN,0,1,0,0
SWK,0,0,0,1
SWM,0,1,0,1
SWX,0,0,0,1
SXI,0,1,0,0
SXT,0,0,0,1
SYF,0,0,0,1
SYK,1,0,0,0
SYKE,1,0,0,0
SYX,0,1,0,0
SYY,0,0,0,1
TALO,0,1,1,0
TBBK,0,1,0,0
TBPH,0,1,0,0
TCBK,0,1,0,0
TD,1,0,0,1
TDIV,1,1,0,0
TEL,0,0,0,1
TEO,0,1,0,0
TEX,0,0,0,1
TFC,0,0,0,1
TFSL,1,0,0,0
TGH,0,1,0,0
TGP,0,1,0,0
TGTX,0,0,1,0
THG,1,0,0,1
THO,0,0,0,1
TMHC,0,0,0,1
TMO,1,0,0,0
TMUS,1,0,0,0
TNC,0,1,0,1
TNDM,0,0,1,0
TNL,0,0,0,1
TOL,0,0,0,1
TOWN,0,0,0,1
TPH,0,0,0,1
TR,0,1,0,0
TRIL,0,1,1,1
TRIP,0,0,0,1
TRMK,0,0,0,1
TRN,0,0,0,1
TRNO,1,0,0,0
TROW,1,0,0,0
TRP,1,0,0,1
TRS,1,1,0,1
TRV,1,0,0,1
TSCO,1,0,0,0
TSLX,0,0,0,1
TSN,0,0,0,1
TT,1,0,0,0
TTC,1,0,0,0
TTEK,1,0,0,0
TU,0,0,0,1
TUP,0,1,1,0
TVTX,0,1,0,1
TVTY,0,1,0,0
TWNK,0,0,0,1
TX,0,0,0,1
TXN,1,0,0,0
TYL,1,0,0,0
UA,0,0,0,1
UAA,0,0,0,1
UBSI,0,0,0,1
UCBI,0,0,0,1
UDR,1,0,0,0
UGI,1,0,0,0
UHS,0,0,0,1
UL,0,0,0,1
ULTA,0,0,0,1
UMBF,0,0,0,1
UNFI,0,0,1,0
UNH,1,0,0,0
UNP,1,0,0,0
UPLD,0,1,0,0
USAC,0,1,0,0
USB,0,0,0,1
USIG,0,0,0,1
USNA,0,0,0,1
USPH,0,1,0,1
UVV,0,1,0,1
V,1,0,0,0
VAC,0,0,0,1
VBTX,0,1,0,1
VC,0,0,0,1
VCRA,0,1,0,0
VCSH,0,0,0,1
VECO,0,1,0,1
VER,0,0,0,1
VET,0,1,0,0
VFC,0,0,0,1
VFF,0,1,1,0
VG,0,0,0,1
VGSH,0,0,0,1
VIAC,0,0,0,1
VIACA,0,0,0,1
VIVO,0,1,0,0
VLRS,0,1,0,1
VLY,0,0,0,1
VMBS,0,0,0,1
VMC,1,0,0,0
VMW,0,0,0,1
VNOM,0,1,0,0
VONV,1,0,0,1
VOYA,0,0,0,1
VRSK,1,0,0,0
VRSN,1,0,0,0
VSH,0,0,0,1
VTR,0,0,0,1
VTWO,1,0,0,0
VUZI,0,1,1,0
VWOB,0,0,0,1
VXUS,0,0,0,1
W,0,0,1,0
WABC,1,0,0,1
WBS,0,0,0,1
WCC,0,0,0,1
WCN,1,0,0,0
WDR,0,0,0,1
WEN,0,0,0,1
WERN,0,0,0,1
WES,0,0,1,0
WEX,0,0,0,1
WHR,0,0,0,1
WIRE,0,1,0,1
WKHS,0,0,1,0
WLTW,1,0,0,0
WMK,0,1,0,0
WPC,1,0,0,1
WPRT,0,1,1,0
WRB,1,0,0,0
WSFS,0,0,0,1
WTRG,1,0,0,0
WTS,1,0,0,0
WU,1,0,0,1
WWW,0,0,0,1
XPEL,0,1,0,0
XPO,0,0,0,1
XRAY,0,0,0,1
Y,1,0,0,1
YUM,0,0,0,1
ZGNX,0,1,0,0
ZION,0,0,0,1
ZUMZ,0,1,0,0
